taxonNameID,scientificName,acceptedTaxonNameID,acceptedTaxonName,higherTaxonNameID,higherTaxonName,basionymID,basionym,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,nomenclaturalCode,namePublicationID,namePublishedIn,taxonomicStatus,nomenclaturalStatus,taxonRemarks,taxonConceptID,taxonAccordingTo
,"Phyllosticta",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XXII: 855","","","",,""
,"celtidicola",,"",,"",,"Phyllosticta celtidicola","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XXII: 855","","","",,""
,"Phyllosticta",,"",,"",,"","","","","","","","","","","Genus","Ellis & G. Martin","",,"Index Fungorum","","","",,""
,"arbutifolia",,"",,"",,"Phyllosticta arbutifolia","","","","","","","","","","Species","Ellis & G. Martin","ICBN",,"Index Fungorum","","Assumed Valid","",,""
,"Phyllosticta",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. addit. vol. I-IV: 433","","","",,""
,"arbutifolia",,"",,"",,"Phyllosticta arbutifolia","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. addit. vol. I-IV: 433","","","",,""
,"Phyllosticta",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. X: 109","","","",,""
,"arbutifolia",,"",,"",,"Phyllosticta arbutifolia","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. X: 109","","","",,""
,"Phyllosticta",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XII: 552","","","",,""
,"arbutifolia",,"",,"",,"Phyllosticta arbutifolia","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XII: 552","","","",,""
,"Rhizophydium",,"",,"",,"","","","","","","","","","","Genus","de Bary & Woronin","",,"Index Fungorum","","","",,""
,"roseum",,"",,"",,"Rhizophydium roseum","","","","","","","","","","Species","de Bary & Woronin","ICBN",,"Index Fungorum","","Assumed Valid","",,""
,"Rhizophydium",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. VII: 299","","","",,""
,"roseum",,"",,"",,"Rhizophydium roseum","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. VII: 299","","","",,""
,"Rhizophydium",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XII: 665","","","",,""
,"roseum",,"",,"",,"Rhizophydium roseum","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XII: 665","","","",,""
,"Marasmius",,"",,"",,"","","","","","","","","","","Genus","Berk.","",,"J. Bot., London,  6: 316 (1847)","","","",,""
,"pyrrhocephalus",,"",,"",,"Marasmius pyrrhocephalus","","","","","","","","","","Species","Berk.","ICBN",,"J. Bot., London,  6: 316 (1847)","","Assumed Valid","",,""
,"Marasmius",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XXIII: 162","","","",,""
,"pyrrhocephalus",,"",,"",,"Marasmius pyrrhocephalus","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XXIII: 162","","","",,""
,"Marasmius",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. V: 552","","","",,""
,"pyrrhocephalus",,"",,"",,"Marasmius pyrrhocephalus","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. V: 552","","","",,""
,"Sphaeria",,"",,"",,"","","","","","","","","","","Genus","Ellis","",,"Index Fungorum","","","",,""
,"nigripes",,"",,"",,"Sphaeria nigripes","","","","","","","","","","Species","Ellis","ICBN",,"Index Fungorum","","Assumed Valid","",,""
,"Sphaeria",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. III: 187","","","",,""
,"nigripes",,"",,"",,"Sphaeria nigripes","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. III: 187","","","",,""
